RestaurantID,RestaurantName,CountryCode,Countryname,City,Locality,Longitude,Latitude,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Rating,Date Opening,Year,Month No,Day,Month Name,Quarter,Week of Year,Day Name,Finacial Quarter
18435314,Punjabi's Veg Grill,1,India,New Delhi,Geeta Colony,77.2767689,28.6507753,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,21-09-2013,2013,9,21,September,Q3,38,Saturday,FQ-2
18378015,Tasty Tandoor,1,India,New Delhi,Geeta Colony,77.27505159,28.65821556,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,10-09-2016,2016,9,10,September,Q3,37,Saturday,FQ-2
18424905,Taste of Spice,1,India,New Delhi,Lajpat Nagar 1,77.2413122,28.5783107,North Indian,Indian Rupees(Rs.),No,Yes,No,No,1,0,400,1,25-09-2018,2018,9,25,September,Q3,39,Tuesday,FQ-2
18180072,Kolcata Bengali Dhaba,1,India,New Delhi,Mahipalpur,77.1239323,28.5435869,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,06-09-2018,2018,9,6,September,Q3,36,Thursday,FQ-2
18415377,Sunil Punjabi Dhaba,1,India,New Delhi,Mahipalpur,77.1297061,28.5413686,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,17-09-2013,2013,9,17,September,Q3,38,Tuesday,FQ-2
18421485,Bikaner Restaurant,1,India,New Delhi,Mukherjee Nagar,77.2081351,28.699566,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,03-09-2018,2018,9,3,September,Q3,36,Monday,FQ-2
312413,Just In,1,India,New Delhi,Mukherjee Nagar,77.2190942,28.7094798,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,16-09-2011,2011,9,16,September,Q3,38,Friday,FQ-2
303497,Shri Shyam Ji Shudh Shakahari Bhojnalaya,1,India,New Delhi,Najafgarh,76.9748922,28.6112536,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,21-09-2014,2014,9,21,September,Q3,39,Sunday,FQ-2
18354644,Shree Bhojnalaya,1,India,New Delhi,New Friends Colony,77.27276199,28.56077074,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,09-09-2012,2012,9,9,September,Q3,37,Sunday,FQ-2
18366001,Baba Ka Dhaba,1,India,New Delhi,Palam,77.0902799,28.5828978,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,21-09-2014,2014,9,21,September,Q3,39,Sunday,FQ-2
18486845,Kaka Da Dhaba,1,India,New Delhi,R K Puram,77.1741183,28.5771926,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,24-09-2012,2012,9,24,September,Q3,39,Monday,FQ-2
18424202,Famous Parantha and Poori Sabzi,1,India,New Delhi,Vasundhara Enclave,77.3085095,28.5893763,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,50,1,20-09-2014,2014,9,20,September,Q3,38,Saturday,FQ-2
18472678,Garam Masala,1,India,New Delhi,Defence Colony,77.2254202,28.5728608,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,10-08-2013,2013,8,10,August,Q3,32,Saturday,FQ-2
18209806,Zaika-E-Chaap Express,1,India,New Delhi,Dilshad Garden,77.30820905,28.67788563,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,250,1,20-08-2010,2010,8,20,August,Q3,34,Friday,FQ-2
18286922,Tandoori Nature,1,India,New Delhi,Jangpura,77.2479992,28.5832431,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,400,1,24-08-2017,2017,8,24,August,Q3,34,Thursday,FQ-2
18458302,Tinker Koch,1,India,New Delhi,Jangpura,77.2474752,28.5839782,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,15-08-2013,2013,8,15,August,Q3,33,Thursday,FQ-2
7362,Vaishno Da Dhaba,1,India,New Delhi,Mahipalpur,77.1230334,28.5451138,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,24-08-2010,2010,8,24,August,Q3,35,Tuesday,FQ-2
18466400,Desi Thaat Amritsari Naan,1,India,New Delhi,Mukherjee Nagar,77.2091154,28.7146792,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,1,13-08-2015,2015,8,13,August,Q3,33,Thursday,FQ-2
18361779,Haryana Bhojnalaya,1,India,New Delhi,Mukherjee Nagar,77.2187133,28.7092358,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,1,24-08-2011,2011,8,24,August,Q3,35,Wednesday,FQ-2
18354672,Karol Bagh Ke Chhole Bhature,1,India,New Delhi,Najafgarh,76.9890278,28.5996154,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,1,21-08-2017,2017,8,21,August,Q3,34,Monday,FQ-2
18464641,Bala Ji Rasoi,1,India,New Delhi,Nangloi,77.06247076,28.67583363,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,350,1,09-08-2012,2012,8,9,August,Q3,32,Thursday,FQ-2
18312665,Best Chicken Corner,1,India,New Delhi,Nangloi,77.0688571,28.6823752,North Indian,Indian Rupees(Rs.),No,No,No,No,2,0,650,1,04-08-2010,2010,8,4,August,Q3,32,Wednesday,FQ-2
18312572,Avatar Da Dhaba,1,India,New Delhi,Naraina,77.1364744,28.6205175,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,13-08-2017,2017,8,13,August,Q3,33,Sunday,FQ-2
18349241,Curry Man,1,India,New Delhi,Naraina,0,0,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,06-08-2016,2016,8,6,August,Q3,32,Saturday,FQ-2
18355121,Delicious Eating Corner,1,India,New Delhi,Nehru Place,77.2511121,28.5471678,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,400,1,24-08-2013,2013,8,24,August,Q3,34,Saturday,FQ-2
18289272,Massi's Kitchen,1,India,New Delhi,Pandav Nagar,77.2857811,28.6238533,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,1,06-08-2014,2014,8,6,August,Q3,32,Wednesday,FQ-2
